ID,network_age,Churn_Probability
4,143,0.390989697
13,1142,0.357805296
17,1265,0.495864464
19,1355,0.261097685
27,1524,0.345180653
28,1531,0.344301322
31,1705,0.218884477
33,1910,0.464143394
34,2032,0.41190596
35,2081,0.468335261
36,2096,0.215041287
38,2148,0.366240464
42,2226,0.485315725
43,2237,0.358482474
50,2492,0.207572192
53,2639,0.383444005
54,2680,0.314221352
56,2707,0.482480693
59,2886,0.202970198
60,2990,0.277251465
62,3114,0.238269041
65,3298,0.31885688
66,3437,0.335175203
67,3479,0.480796964
71,3704,0.282794568
72,3713,0.399259185
74,3809,0.265808869
75,3817,0.342802955
76,3870,0.400716244
77,3961,0.377341353
78,3978,0.24844863
82,4153,0.40730563
83,4183,0.412443547
84,4229,0.261147669
85,4251,0.396229573
87,4254,0.292578895
92,1375,0.272097667
94,2546,0.457425554
100,629,0.298535319
101,666,0.486922461
105,2169,0.455109272
106,2271,0.291358069
109,3611,0.436859663
118,3380,0.345633251
120,3728,0.483431127
123,4084,0.380449037
125,1526,0.256457847
127,1994,0.336835075
128,2440,0.440379009
129,4152,0.284514795
130,4232,0.205516834
140,368,0.448765882
145,404,0.337533039
146,410,0.292893634
151,433,0.48311217
157,463,0.395494211
165,503,0.371596221
166,503,0.467651518
169,508,0.25958642
178,577,0.424086805
180,591,0.358844873
183,609,0.417962358
192,708,0.312733341
193,715,0.397053605
194,719,0.363668456
196,731,0.442210107
197,765,0.308933061
199,770,0.425456029
200,793,0.228656108
201,827,0.383584012
203,888,0.447462707
204,912,0.208605264
206,939,0.428246729
209,958,0.240096112
210,974,0.356722843
211,981,0.211265735
212,993,0.384194024
214,1033,0.44553495
216,1053,0.273782975
218,1056,0.44428095
221,1085,0.294703893
223,1097,0.266298618
224,1102,0.2243196
231,1177,0.232005198
234,1237,0.212017021
243,1341,0.425931824
244,1345,0.246848856
245,1351,0.250310485
254,1417,0.244761588
256,1421,0.413466018
257,1426,0.286639204
265,1487,0.283434425
266,1487,0.457609088
268,1500,0.370021653
270,1507,0.252300567
275,1570,0.468752274
278,1604,0.264188565
281,1625,0.460574657
284,1653,0.220950087
287,1673,0.243426207
292,1727,0.386551268
295,1758,0.429336665
296,1770,0.236131082
299,1781,0.369654389
302,1794,0.328643218
304,1822,0.22570632
308,1860,0.473188611
309,1867,0.36096873
311,1877,0.248179578
312,1883,0.359128405
316,1912,0.217703329
317,1913,0.248563679
319,1948,0.336307038
321,1971,0.245311028
322,1974,0.330352819
326,2009,0.286091375
331,2051,0.405521238
334,2083,0.317654545
336,2094,0.223127622
337,2098,0.301974089
338,2100,0.370339296
341,2121,0.345434062
347,2180,0.225990088
350,2201,0.442256718
353,2237,0.312850534
362,2312,0.224717933
363,2345,0.208283209
371,2437,0.366418743
376,2471,0.329316697
379,2499,0.276784909
383,2543,0.363019951
388,2585,0.470094605
389,2587,0.353300721
390,2604,0.381458306
391,2604,0.247415183
393,2658,0.25865636
394,2660,0.363629465
395,2667,0.374047863
397,2670,0.22783119
400,2691,0.440722551
403,2699,0.281513762
407,2780,0.426521737
412,2833,0.34506418
416,2905,0.445967856
418,3019,0.431424395
419,3020,0.44108479
420,3031,0.310452688
421,3046,0.232360079
424,3094,0.33606158
426,3097,0.202421561
431,3183,0.430548973
433,3211,0.306439581
438,3266,0.234173568
443,3319,0.462280998
446,3340,0.27904437
449,3399,0.284557902
452,3460,0.209736649
455,3504,0.421097701
459,3561,0.363576531
464,3638,0.20221651
467,3661,0.328200887
468,3667,0.285620721
470,3686,0.269278291
473,3701,0.361108075
474,3702,0.356767224
478,3738,0.424630912
479,3744,0.200613068
480,3762,0.397432654
485,3805,0.30862764
487,3837,0.444437043
489,3841,0.244344698
490,3850,0.388521075
491,3869,0.323614759
492,3877,0.279143612
493,3886,0.32819345
496,3901,0.228406221
500,3994,0.235501475
506,4102,0.200840778
507,4151,0.289730551
508,4153,0.457980603
514,4233,0.474900888
518,4632,0.394366829
520,4863,0.360220958
528,5356,0.280266295
530,-8,0.414782207
532,-4,0.356445889
550,123,0.249397052
553,130,0.208148411
554,130,0.218396715
557,132,0.299444431
560,133,0.419111547
561,134,0.390471666
570,140,0.493682011
571,140,0.458315456
574,143,0.222568354
575,145,0.41241511
576,146,0.361760613
580,151,0.237168544
581,151,0.276567088
582,151,0.3000795
584,152,0.286312802
589,157,0.415487343
590,158,0.242469801
595,168,0.384674998
598,170,0.288724513
599,173,0.257000472
623,231,0.429256535
626,284,0.466993661
629,358,0.267061166
632,366,0.368376664
633,369,0.394350926
635,377,0.270557711
637,382,0.274082047
639,397,0.27789171
641,421,0.286993868
643,425,0.433913451
646,435,0.222998774
649,443,0.424180959
652,455,0.48405842
656,476,0.451427963
663,539,0.314617558
666,565,0.325756743
675,618,0.432272014
681,143,0.41293794
686,365,0.229163738
687,385,0.254954502
700,108,0.48043281
713,129,0.230483526
719,137,0.46310314
720,138,0.269958435
722,141,0.450070663
726,145,0.297360719
728,145,0.300116841
729,148,0.370664684
731,152,0.266734988
734,155,0.449636263
741,170,0.337380334
749,187,0.372575867
750,192,0.439950672
752,202,0.403761496
755,204,0.265550428
761,211,0.412638384
768,225,0.307610455
777,240,0.320399951
778,243,0.399312876
781,254,0.289949324
782,256,0.277554918
783,257,0.204157685
789,281,0.264509478
790,282,0.295132841
793,297,0.283366447
794,304,0.490985247
797,308,0.373499404
800,322,0.300044152
806,350,0.477935638
808,368,0.301133848
809,369,0.461613081
814,418,0.48744612
815,418,0.430116446
816,425,0.273097316
817,425,0.397606545
818,431,0.455187445
819,436,0.407731814
821,439,0.498818648
828,523,0.486733091
834,630,0.289897347
840,963,0.411341119
842,984,0.429692148
845,1181,0.225920253
850,1510,0.397044943
851,1791,0.236372458
852,1872,0.384322687
853,1944,0.246096193
860,2193,0.356269274
861,2248,0.486556803
863,2398,0.278051818
865,3702,0.432494575
867,3809,0.208482924
868,4047,0.449272677
871,4631,0.273317333
872,4755,0.262685838
898,108,0.346767846
908,113,0.4809187
910,114,0.204948054
911,115,0.464417384
918,120,0.393724064
919,120,0.240420261
929,124,0.309047883
933,127,0.337374456
934,128,0.459553619
936,130,0.480641798
949,140,0.282739388
952,145,0.215512739
954,147,0.411248801
958,170,0.447093461
978,243,0.343786276
983,428,0.219167984
986,716,0.381213137
1002,2986,0.284771964
1006,3813,0.459660757
1022,362,0.281179927
1024,375,0.482073638
1028,414,0.437254702
1031,476,0.348032729
1034,585,0.324544142
1046,687,0.278261504
1047,714,0.45858001
1048,719,0.444219735
1050,757,0.451832039
1053,846,0.389236033
1061,913,0.401541688
1073,1003,0.493776885
1077,1021,0.44825341
1080,1048,0.265853646
1081,1053,0.224501185
1088,1151,0.484756423
1096,1259,0.435705477
1098,1273,0.354995064
1101,1296,0.463668516
1105,1319,0.490911193
1110,1354,0.223438964
1111,1355,0.420005358
1113,1374,0.232715798
1121,1492,0.207797148
1138,1777,0.29142524
1140,1821,0.487195578
1150,1974,0.409493158
1151,1991,0.415959742
1155,2051,0.444373032
1157,2083,0.482648439
1160,2169,0.400825454
1164,2213,0.404191869
1166,2260,0.225828273
1172,2365,0.32850059
1175,2450,0.434319411
1179,2658,0.433472089
1180,2750,0.436032961
1185,2875,0.256933227
1188,3188,0.318325093
1192,3487,0.478070031
1193,3491,0.438897388
1195,3505,0.44546265
1198,3623,0.451553701
1199,3626,0.446369445
1200,3667,0.493687636
1202,3722,0.283521018
1204,4150,0.230788405
1206,4837,0.454295081
1214,2898,0.312429975
1223,2312,0.347647806
1225,2542,0.210633972
1226,2622,0.499413015
1229,4065,0.378693644
1230,1643,0.422395013
1231,2135,0.394925281
1232,2576,0.432433766
1236,668,0.35739327
1237,978,0.426675891
1239,1248,0.288543836
1240,1257,0.366228921
1245,2157,0.336593336
1247,3046,0.270640133
1253,1174,0.321194234
1255,101,0.444435357
1261,142,0.302064924
1262,144,0.460976621
1265,168,0.265696151
1269,215,0.214595819
1271,240,0.34305604
1279,741,0.328175784
1281,759,0.435685353
1283,793,0.290494686
1290,894,0.370631699
1293,925,0.285328096
1299,984,0.426755286
1303,1037,0.452365014
1310,1145,0.474497084
1313,1165,0.415528345
1314,1167,0.384076485
1317,1198,0.333335144
1320,1231,0.283519279
1321,1234,0.395589308
1322,1396,0.338403544
1323,1494,0.344852201
1324,1520,0.241092464
1329,1691,0.382655216
1333,1998,0.342070064
1340,2195,0.355117943
1341,2237,0.371568355
1342,2247,0.344567217
1344,2252,0.473550101
1347,2501,0.225887463
1353,2772,0.474964403
1355,2971,0.37887103
1358,3643,0.358310352
1359,3664,0.29791538
1360,3704,0.380353367
1361,3811,0.451387793
1362,3879,0.271960293
1364,4157,0.412025446
1367,717,0.373393044
1368,720,0.432594154
1370,741,0.297090275
1371,743,0.270326032
1373,787,0.237391122
1375,795,0.275582128
1377,864,0.493593569
1378,923,0.44022389
1379,932,0.479987071
1383,153,0.281625139
1385,274,0.394801163
1386,279,0.477215304
1390,889,0.491409174
1392,1399,0.479720709
1400,220,0.497767103
1404,4052,0.333432421
1406,5355,0.241776526
1408,3672,0.281445153
1409,3683,0.393753952
1411,1156,0.333911399
1413,1843,0.42752389
1415,3667,0.494085439
1423,4136,0.383431659
1426,2039,0.402711455
1432,2490,0.20672083
1434,4630,0.253310239
1442,524,0.428029636
1443,921,0.430950152
1444,132,0.492204556
1447,248,0.435541518
1450,325,0.336403916
1452,350,0.345216663
1456,568,0.497164235
1458,595,0.413462519
1459,622,0.237885816
1467,859,0.230885574
1475,1091,0.261492059
1478,1193,0.338191807
1479,1202,0.212951444
1480,1212,0.434535617
1481,1243,0.398713963
1483,1257,0.418136731
1492,1392,0.202168705
1493,1417,0.296476614
1495,1424,0.284702583
1497,1445,0.419666816
1498,1447,0.220838206
1499,1474,0.275266649
1502,1534,0.346321905
1507,1632,0.308820829
1509,1678,0.235508313
1510,1693,0.379845832
1511,1717,0.43172783
1516,1882,0.263115291
1522,2100,0.267985581
1526,2189,0.240278599
1527,2289,0.331932227
1533,2366,0.477730487
1536,2454,0.486041938
1537,2456,0.330001879
1538,2467,0.381407309
1539,2559,0.46286174
1540,2588,0.317043592
1542,2673,0.309959462
1545,2890,0.363948096
1546,2913,0.234284688
1547,3077,0.223184301
1552,3649,0.274188242
1556,3878,0.243226517
1561,4156,0.308092094
1562,4558,0.415488447
1564,4742,0.430408811
1576,471,0.434594045
1580,610,0.420288076
1585,756,0.231290855
1587,802,0.441748183
1588,802,0.294256321
1591,813,0.298694138
1603,1012,0.343468205
1604,1016,0.372138522
1605,1080,0.222655933
1606,1104,0.470487409
1607,1127,0.232416972
1608,1129,0.339858772
1610,1259,0.47419055
1612,1335,0.232042135
1614,1438,0.34703499
1615,1607,0.216511964
1616,1628,0.494692637
1617,1630,0.232742182
1618,1654,0.410071421
1619,1661,0.437442844
1624,2109,0.401267028
1625,2163,0.427861398
1626,2184,0.298129108
1627,2201,0.493901793
1628,2316,0.491326913
1630,2392,0.348467886
1632,2793,0.267006508
1633,3196,0.400029503
1634,3219,0.312119826
1638,3975,0.248904969
1642,1486,0.469788071
1643,100,0.446473643
1646,149,0.349339935
1648,395,0.439150421
1649,451,0.253183369
1655,1168,0.398466472
1656,1221,0.391960164
1660,1272,0.40153116
1674,1418,0.218086643
1675,1419,0.316667977
1676,1420,0.220377344
1678,1439,0.4007464
1685,1558,0.214639741
1688,1668,0.353910967
1694,1915,0.301834972
1699,2541,0.372696126
1700,2653,0.332574664
1701,3653,0.406268367
1702,3673,0.274768905
1703,3819,0.229395155
1706,3962,0.278552517
1708,4246,0.254300904
1709,5181,0.30834218
1710,108,0.473582539
1711,284,0.302634548
1712,1902,0.473169859
1715,1856,0.405729942
1717,1779,0.481698793
1718,2774,0.298703464
